epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1128.7,1.01708,0.66487,1.05442,0.82215,0.68312,0.77435,0.51496,1.24703,0.88164,1.20455,0.0005546,0.0005546,0.0005546
75,1143.78,0.99784,0.65159,1.0451,0.77934,0.70947,0.77152,0.50861,1.26496,0.88022,1.21592,0.0005348,0.0005348,0.0005348
76,1158.9,0.99001,0.65556,1.04948,0.78781,0.6944,0.77265,0.51252,1.25906,0.87305,1.2226,0.000515,0.000515,0.000515
77,1174.06,1.0088,0.66184,1.04898,0.805,0.68114,0.76934,0.50676,1.27154,0.87847,1.2368,0.0004952,0.0004952,0.0004952
78,1189.23,1.00502,0.65305,1.04592,0.78294,0.72023,0.77435,0.5114,1.26462,0.87562,1.21204,0.0004754,0.0004754,0.0004754
79,1204.37,0.98654,0.64022,1.05048,0.80328,0.68795,0.77486,0.51464,1.23967,0.87501,1.20812,0.0004556,0.0004556,0.0004556
80,1219.47,1.00281,0.65307,1.04548,0.79066,0.68364,0.76506,0.5059,1.25727,0.87962,1.22087,0.0004358,0.0004358,0.0004358
81,1234.54,0.99481,0.64261,1.04468,0.78769,0.72023,0.77463,0.51517,1.24586,0.86344,1.20521,0.000416,0.000416,0.000416
82,1249.71,0.98363,0.6418,1.03687,0.77455,0.70875,0.77114,0.5111,1.25961,0.87799,1.21956,0.0003962,0.0003962,0.0003962
83,1264.8,0.9801,0.62962,1.03875,0.7828,0.71617,0.77673,0.51361,1.25488,0.86812,1.2074,0.0003764,0.0003764,0.0003764
84,1279.85,0.97248,0.64128,1.04075,0.78497,0.69922,0.76437,0.50604,1.26872,0.87733,1.22321,0.0003566,0.0003566,0.0003566
85,1294.95,0.97112,0.62887,1.04148,0.78828,0.70777,0.77193,0.51242,1.26149,0.87182,1.22498,0.0003368,0.0003368,0.0003368
86,1310.09,0.97508,0.62319,1.03305,0.83875,0.66791,0.76521,0.50689,1.26566,0.87904,1.22262,0.000317,0.000317,0.000317
87,1325.3,0.96455,0.6312,1.03865,0.83161,0.68019,0.76985,0.51461,1.24823,0.86236,1.21389,0.0002972,0.0002972,0.0002972
88,1340.48,0.9713,0.62154,1.02692,0.82359,0.68795,0.77517,0.51648,1.23889,0.86117,1.20773,0.0002774,0.0002774,0.0002774
89,1355.58,0.96196,0.6196,1.02608,0.79526,0.71162,0.77415,0.51605,1.25131,0.8576,1.21537,0.0002576,0.0002576,0.0002576
90,1370.63,0.97523,0.62596,1.03278,0.82496,0.70323,0.7766,0.51663,1.2498,0.87373,1.21663,0.0002378,0.0002378,0.0002378
91,1406.15,0.93024,0.58979,1.00539,0.80707,0.69799,0.77241,0.5103,1.24976,0.87649,1.20386,0.000218,0.000218,0.000218
92,1421.02,0.90447,0.55495,1.00117,0.79764,0.70301,0.77305,0.51716,1.22823,0.85986,1.19424,0.0001982,0.0001982,0.0001982
93,1435.91,0.89786,0.5447,0.99536,0.8121,0.69584,0.76938,0.50932,1.24724,0.86849,1.20844,0.0001784,0.0001784,0.0001784
94,1450.75,0.88627,0.53545,0.9834,0.78741,0.70516,0.76419,0.5078,1.24928,0.88298,1.20601,0.0001586,0.0001586,0.0001586
95,1465.88,0.88125,0.52807,0.98711,0.79365,0.70086,0.76826,0.51224,1.24139,0.87581,1.20554,0.0001388,0.0001388,0.0001388
96,1480.89,0.8803,0.52877,0.98565,0.79984,0.69297,0.76555,0.51186,1.24512,0.88403,1.20329,0.000119,0.000119,0.000119
97,1495.82,0.87298,0.5249,0.9783,0.7954,0.70875,0.77195,0.51356,1.24423,0.86765,1.2099,9.92e-05,9.92e-05,9.92e-05
98,1510.75,0.86919,0.51839,0.97691,0.81022,0.6944,0.77283,0.5141,1.24689,0.8619,1.21545,7.94e-05,7.94e-05,7.94e-05
99,1525.77,0.87354,0.51384,0.97732,0.80255,0.69394,0.76824,0.51513,1.23884,0.86288,1.21166,5.96e-05,5.96e-05,5.96e-05
100,1540.74,0.86147,0.51527,0.98307,0.7959,0.69727,0.77013,0.51474,1.24521,0.86397,1.2155,3.98e-05,3.98e-05,3.98e-05
